"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_U05875","U05875","RUS-RU-Moscow-03-colo-LE_BR2389-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U06001","U06001","RUS-RU-Moscow-03-colo_LE_IF1012","LB_U060","LE_IF1012","BU_OGTBMS"
"RF_U07101","U07101","RUS-RU-Moscow-03-colo_LE_IF1683","LB_U071","LE_IF1683","BU_OGTBMS"
"RF_U07301","U07301","RUS-RU-Moscow-03-colo_LE_IF1685","LB_U073","LE_IF1685","BU_OGTBMS"
"RF_U07401","U07401","RUS-RU-Moscow-03-colo_LE_IF1692","LB_U074","LE_IF1692","BU_OGTBMS"
"RF_U07701","U07701","RUS-RU-Moscow-03-colo_LE_IF1738","LB_U077","LE_IF1738","BU_OGTBMS"
"RF_U07801","U07801","RUS-RU-Moscow-03-colo_LE_IF1739","LB_U078","LE_IF1739","BU_OGTBMS"
"RF_U08001","U08001","RUS-RU-Moscow-03-colo_LE_IF1894","LB_U080","LE_IF1894","BU_OGTBMS"
"RF_U08101","U08101","RUS-RU-Moscow-03-colo_LE_IF1902","LB_U081","LE_IF1902","BU_OGTBMS"
"RF_U08201","U08201","RUS-RU-Moscow-03-colo_LE_IF1903","LB_U082","LE_IF1903","BU_OGTBMS"
"RF_U08301","U08301","RUS-RU-Moscow-03-colo_LE_IF1904","LB_U083","LE_IF1904","BU_OGTBMS"
"RF_U10301","U10301","RUS-RU-Moscow-03-colo_LE_CP1049","LB_U103","LE_CP1049","BU_OGTBMS"
"RF_U14801","U14801","RUS-RU-Moscow-03-colo_LE_CP0058","LB_U148","LE_CP0058","BU_OGTBMS"
"RF_U15701","U15701","RUS-RU-Moscow-03-colo_LE_BR2137","LB_U157","LE_BR2137","BU_OGTBMS"
"RF_H04801","H04801","RUS-RU-StPetersburg-01_LE_BR2029","LB_H048","LE_BR2029","BU_OGHQTR"
"RF_H04901","H04901","RUS-RU-StPetersburg-01_LE_BR2030","LB_H049","LE_BR2030","BU_OGHQTR"
"RF_H07143","H07143","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-H071","LB_H071","LE_I10234","BU_OGHQTR"
"RF_H07901","H07901","RUS-RU-StPetersburg-01_LE_IF1319","LB_H079","LE_IF1319","BU_OGHQTR"
"RF_H08501","H08501","RUS-RU-StPetersburg-01_LE_IF1684","LB_H085","LE_IF1684","BU_OGHQTR"
"RF_H11701","H11701","RUS-RU-StPetersburg-01_LE_CP1049","LB_H117","LE_CP1049","BU_OGHQTR"
"RF_H11801","H11801","RUS-RU-StPetersburg-01_ME_LB_HQRU2","LB_H118","LE_CP1049","BU_OGHQTR"
"RF_M02543","M02543","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-M025","LB_M025","LE_I10234","BU_OGMEAS"
"RF_M43543","M43543","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-M435","LB_M435","LE_I10234","BU_OGMEAS"
"RF_R33643","R33643","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-R336","LB_R336","LE_I10234","BU_OGSUBS"
"RF_S11543","S11543","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-S115","LB_S115","LE_I10234","BU_OGSUBS"
"RF_T04301","T04301","RUS-RU-StPetersburg-01_LE_BR2029","LB_T043","LE_BR2029","BU_OGTBMS"
"RF_T04401","T04401","RUS-RU-StPetersburg-01_LE_BR2030","LB_T044","LE_BR2030","BU_OGTBMS"
"RF_T06443","T06443","RUS-RU-St Petersburg-Sakhalin Reg, Uzhno-Sakhalinsk, Kyrilskaya st, bld 40 off 16/2_IF1319-T064","LB_T064","LE_I10234","BU_OGTBMS"
"RF_T07201","T07201","RUS-RU-StPetersburg-01_LE_IF1319","LB_T072","LE_IF1319","BU_OGTBMS"
"RF_T07801","T07801","RUS-RU-StPetersburg-01_LE_IF1684","LB_T078","LE_IF1684","BU_OGTBMS"
"RF_U03701","U03701","RUS-RU-StPetersburg-01_LE_BR2029","LB_U037","LE_BR2029","BU_OGTBMS"
"RF_U03801","U03801","RUS-RU-StPetersburg-01_LE_BR2030","LB_U038","LE_BR2030","BU_OGTBMS"
"RF_U05807","U05807","RUS-RU-StPetersburg-01-LE_BR2029-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05808","U05808","RUS-RU-StPetersburg-01-LE_BR2030-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05843","U05843","RUS-RU-StPetersburg-01-LE_IF1319-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05849","U05849","RUS-RU-StPetersburg-01-LE_IF1684-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U06601","U06601","RUS-RU-StPetersburg-01_LE_IF1319","LB_U066","LE_IF1319","BU_OGTBMS"
"RF_U07201","U07201","RUS-RU-StPetersburg-01_LE_IF1684","LB_U072","LE_IF1684","BU_OGTBMS"
